PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P242
Station name, FrazierAirCN2004
Begin Date, 2004-12-18
End Date, 2023-08-28
Release Date, 2023-08-29
Source file, P242.cwu.igs14.pos
Offset from source file, 89.87 mm North, -186.12 mm East, -10.46 mm Vertical
Reference position, 36.9539319849 North Latitude, -121.4631841431 East Longitude, 14.75973 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-07-13,1.33, -15.15, 6.93, 2.06, 1.63, 7.41, repro,
2005-07-14,-0.43, -14.73, 8.32, 2.09, 1.68, 7.59, repro,
2005-07-15,0.17, -14.85, 1.54, 2.06, 1.63, 7.42, repro,
2005-07-16,-0.17, -15.49, 6.66, 2.06, 1.63, 7.43, repro,
2005-07-17,0.56, -15.48, 3.83, 2.04, 1.62, 7.37, repro,
2005-07-18,-1.27, -16.26, 5.98, 2.05, 1.62, 7.37, repro,
2005-07-19,1.45, -16.73, 0.00, 2.06, 1.62, 7.4, repro,
2005-07-20,1.51, -17.63, -4.46, 2.05, 1.62, 7.38, repro,
2005-07-21,-0.21, -15.96, 14.50, 2.05, 1.62, 7.39, repro,
2005-07-22,1.05, -16.46, 6.72, 2.06, 1.63, 7.46, repro,
2005-07-23,-0.76, -15.72, 6.41, 2.06, 1.63, 7.46, repro,
2005-07-24,0.93, -14.69, 1.20, 2.09, 1.66, 7.6, repro,
2005-07-25,1.99, -15.64, -2.88, 2.1, 1.66, 7.62, repro,
2005-07-26,1.04, -17.51, 2.13, 2.11, 1.72, 7.69, repro,
2005-07-27,0.71, -16.45, -0.10, 2.13, 1.73, 7.76, repro,
2005-07-28,1.01, -17.04, -4.22, 2.13, 1.73, 7.75, repro,
2005-07-29,0.93, -16.18, -7.23, 2.17, 1.7, 7.79, repro,
2005-07-30,0.01, -16.69, -4.14, 2.1, 1.68, 7.65, repro,
2005-07-31,0.66, -16.97, -3.50, 2.08, 1.65, 7.51, repro,
2005-08-01,-1.38, -17.22, 1.28, 2.13, 1.7, 7.69, repro,
2005-08-02,-0.48, -15.74, -3.16, 2.09, 1.67, 7.6, repro,
2005-08-03,0.31, -18.55, -5.66, 2.06, 1.62, 7.41, repro,
2005-08-04,1.16, -17.22, -5.74, 2.07, 1.63, 7.5, repro,
2005-08-05,0.02, -16.67, -4.52, 2.09, 1.67, 7.58, repro,
2005-08-06,-0.01, -15.18, -3.32, 2.06, 1.64, 7.47, repro,
2005-08-07,-0.40, -16.02, -4.54, 2.06, 1.64, 7.42, repro,
2005-08-08,-0.12, -17.43, -0.09, 2.06, 1.63, 7.4, repro,
